,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
263,1951,physics,Sir John Douglas Cockcroft,27 May 1897,Todmorden,United Kingdom,," Atomic Energy Research Establishment, Harwell, Berkshire, United Kingdom"," Accelerator physics, nuclear physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1951 was awarded jointly to Sir John Douglas Cockcroft and Ernest Thomas Sinton Walton for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
264,1952,chemistry,Archer John Porter Martin,1-Mar-10,London,United Kingdom,," National Institute for Medical Research, London, United Kingdom", Analytical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1952 was awarded jointly to Archer John Porter Martin and Richard Laurence Millington Synge for their invention of partition chromatography
265,1952,chemistry,Richard Laurence Millington Synge,28-Oct-14,Liverpool,United Kingdom,," Rowett Research Institute, Bucksburn (Scotland), United Kingdom", Analytical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1952 was awarded jointly to Archer John Porter Martin and Richard Laurence Millington Synge for their invention of partition chromatography
266,1952,literature,François Mauriac,11 October 1885,Bordeaux,France,France,, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1952 was awarded to François Mauriac for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life.
267,1952,medicine,Selman Abraham Waksman,22 July 1888,Priluka (now Pryluky),Russian Empire (now Ukraine),," Rutgers University, New Brunswick, NJ, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1952 was awarded to Selman A. Waksman for his discovery of streptomycin, the first antibiotic effective against tuberculosis."
268,1952,peace,Albert Schweitzer,14 January 1875,Kaysersberg,Germany (now France),France," Founder of Lambaréné (République de Gabon), Missionary surgeon", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1952 was awarded to Albert Schweitzer.
269,1952,physics,Edward Mills Purcell,30-Aug-12,Taylorville IL,USA,," Harvard University, Cambridge, MA, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1952 was awarded jointly to Felix Bloch and Edward Mills Purcell for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
270,1952,physics,Felix Bloch,23-Oct-05,Zurich,Switzerland,," Stanford University, Stanford, CA, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1952 was awarded jointly to Felix Bloch and Edward Mills Purcell for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
271,1953,chemistry,Hermann Staudinger,23 March 1881,Worms,Germany,," University of Freiburg, Breisgau, Federal Republic of Germany, Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg, Breisgau, Federal Republic of Germany", Polymer chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1953 was awarded to Hermann Staudinger for his discoveries in the field of macromolecular chemistry.
272,1953,literature,Sir Winston Leonard Spencer Churchill,30 November 1874,Woodstock,United Kingdom,United Kingdom,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1953 was awarded to Winston Churchill for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values.
273,1953,medicine,Fritz Albert Lipmann,12 June 1899,Koenigsberg (now Kaliningrad),Germany (now Russia),," Harvard Medical School, Boston, MA, USA, Massachusetts General Hospital, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1953 was divided equally between Hans Adolf Krebs for his discovery of the citric acid cycle and Fritz Albert Lipmann for his discovery of co-enzyme A and its importance for intermediary metabolism.
274,1953,medicine,Hans Adolf Krebs,25-Aug-00,Hildesheim,Germany,," Sheffield University, Sheffield, United Kingdom",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1953 was divided equally between Hans Adolf Krebs for his discovery of the citric acid cycle and Fritz Albert Lipmann for his discovery of co-enzyme A and its importance for intermediary metabolism.
275,1953,peace,George Catlett Marshall,31 December 1880,Uniontown PA,USA,USA," Originator of Marshall Plan, Delegate U.N., ex-Secretary of State and of Defense, General President American Red Cross"," Humanitarian work, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1953 was awarded to George C. Marshall.
276,1953,physics,Frits (Frederik) Zernike,16 July 1888,Amsterdam,the Netherlands,," Groningen University, Groningen, the Netherlands", Optical physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1953 was awarded to Frits Zernike for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope."
277,1954,chemistry,Linus Carl Pauling,28-Feb-01,Portland OR,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA"," Theoretical chemistry, chemical bonding",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1954 was awarded to Linus Pauling for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances.
278,1954,literature,Ernest Miller Hemingway,21 July 1899,Oak Park IL,USA,USA,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1954 was awarded to Ernest Hemingway for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style."
279,1954,medicine,Frederick Chapman Robbins,25-Aug-16,Auburn AL,USA,," Western Reserve University, Cleveland, OH, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
280,1954,medicine,John Franklin Enders,10 February 1897,West Hartford CT,USA,," Harvard Medical School, Boston, MA, USA, Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
281,1954,medicine,Thomas Huckle Weller,15-Jun-15,Ann Arbor MI,USA,," Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
282,1954,peace,Office of the United Nations High Commissioner for Refugees (UNHCR),1951 in Geneva,,Switzerland,, An international aid organization established by the UN, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1954 was awarded to Office of the United Nations High Commissioner for Refugees.
283,1954,physics,Max Born,11 December 1882,Breslau (now Wroclaw),Germany (now Poland),," Edinburgh University, Edinburgh, United Kingdom", Quantum mechanics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1954 was divided equally between Max Born for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction and Walther Bothe for the coincidence method and his discoveries made therewith."
284,1954,physics,Walther Bothe,8 January 1891,Oranienburg,Germany,," University of Heidelberg, Heidelberg, Federal Republic of Germany, Max-Planck-Institut für medizinische Forschung, Heidelberg, Federal Republic of Germany", Instrumentation,The Nobel Prize in Physics,"The Nobel Prize in Physics 1954 was divided equally between Max Born for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction and Walther Bothe for the coincidence method and his discoveries made therewith."
285,1955,chemistry,Vincent du Vigneaud,18-May-01,Chicago IL,USA,," Cornell University, Ithaca, NY, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1955 was awarded to Vincent du Vigneaud for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone."
286,1955,literature,Halldór Kiljan Laxness,23-Apr-02,Reykjavik,Iceland,Iceland,, Icelandic,The Nobel Prize in Literature,The Nobel Prize in Literature 1955 was awarded to Halldór Laxness for his vivid epic power which has renewed the great narrative art of Iceland.
287,1955,medicine,Axel Hugo Theodor Theorell,6-Jul-03,Linköping,Sweden,," Karolinska Institutet, Nobel Medical Institute, Stockholm, Sweden",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1955 was awarded to Hugo Theorell for his discoveries concerning the nature and mode of action of oxidation enzymes.
288,1955,physics,Polykarp Kusch,26-Jan-11,Blankenburg,Germany,," Columbia University, New York, NY, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1955 was divided equally between Willis Eugene Lamb for his discoveries concerning the fine structure of the hydrogen spectrum and Polykarp Kusch for his precision determination of the magnetic moment of the electron.
289,1955,physics,Willis Eugene Lamb,12-Jul-13,Los Angeles CA,USA,," Stanford University, Stanford, CA, USA", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1955 was divided equally between Willis Eugene Lamb for his discoveries concerning the fine structure of the hydrogen spectrum and Polykarp Kusch for his precision determination of the magnetic moment of the electron.
290,1956,chemistry,Nikolay Nikolaevich Semenov,3 April 1896,Saratov,Russia,," Institute for Chemical Physics of the Academy of Sciences of the USSR, Moscow, USSR"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1956 was awarded jointly to Sir Cyril Norman Hinshelwood and Nikolay Nikolaevich Semenov for their researches into the mechanism of chemical reactions
291,1956,chemistry,Sir Cyril Norman Hinshelwood,19 May 1897,London,United Kingdom,," University of Oxford, Oxford, United Kingdom"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1956 was awarded jointly to Sir Cyril Norman Hinshelwood and Nikolay Nikolaevich Semenov for their researches into the mechanism of chemical reactions
292,1956,literature,Juan Ramón Jiménez,24 December 1881,Michelena,Venezuela,Spain,, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1956 was awarded to Juan Ramón Jiménez for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity."
293,1956,medicine,André Frédéric Cournand,24 September 1895,Paris,France,," Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1956 was awarded jointly to André Frédéric Cournand, Werner Forssmann and Dickinson W. Richards for their discoveries concerning heart catheterization and pathological changes in the circulatory system."
294,1956,medicine,Dickinson W. Richards,30 October 1895,Orange NJ,USA,," Columbia University, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1956 was awarded jointly to André Frédéric Cournand, Werner Forssmann and Dickinson W. Richards for their discoveries concerning heart catheterization and pathological changes in the circulatory system."
295,1956,medicine,Werner Forssmann,29-Aug-04,Berlin,Germany,," Mainz University, Mainz, Federal Republic of Germany",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1956 was awarded jointly to André Frédéric Cournand, Werner Forssmann and Dickinson W. Richards for their discoveries concerning heart catheterization and pathological changes in the circulatory system."
